        各地区户口登记地在外乡镇街道的人口状况
地区      合计      本县/市/区  本省其他县/市/区     省外
全国    260937942   90372599     84689006       85876337
北京    10498288    1582574      1871181        7044533
天津    4952225     1095282      865442         2991501
河北    8297279     4263957      2628649        1404673
山西    6764665     3643627      2189385        931653
内蒙古  7170889     2732591      2994117         1444181
辽宁    9310058     3899728      3623800        1786530
吉林    4462177     2604239      1401439        456499
黑龙江  5557828     2800727      2250704         506397
上海    12685316    1669287      2039029        8977000
江苏    18226819    4545030      6302536        7379253
浙江    19900863    4626831      3450055        11823977
安徽    7100608     3427379      2955766        717463
福建    11074525    3162036      3598887        4313602
江西    5302276     3245115      1457219        599942
山东    13698321    6574791      5007937        2115593
河南    9764067     5241746      3930187        592134
湖北    9250228     4445565      3791051        1013612
湖南    7898815     4170436      3003397        724982
广东    36806649    5416212      9892650        21497787
广西    6291811     2534473      2915532        841806
海南    1843430     586432       668535         588463
重庆    5440776     2636642      1858940        945194
四川    11735152    4821302      5785277        1128573
贵州    4629542     2024871      1841377        763294
云南    6053805     2119312      2697944        1236549
西藏    262005      1562         95020          165423
陕西    5894416     2769910      2150144        974362
甘肃    3112722     1485779      1194110        432833
青海    1140954     351988       470531         318435
宁夏    1534482     627284       538747         368451
新疆    4276951     1265891      1219418        1791642
